
Nurlaeli,bintang 5,enak recommended.
Fariza,bintang 5,"ga ada masalah sama sambelnya, enakkkk. tp kurir ekspedisinya yg lama banget ngirimnya😩"
Lestari,bintang 5,"kemasannya mevvvvvvaaahhh. tapi mini....rasanya maxi... packing aman, seller responsif👍"
Novianti,bintang 3,Rasanya biasa aja
zeppry,bintang 5,sesuai pesanan barang ok
J***I,bintang 5,mantap
Wita,bintang 5,"Selalu enak dan memuaskan, ini repeat order yg ke 15x 😁😁"
Ruli,bintang 5,Oishi.....
S***i,bintang 5,"sambalnya enak donggg
viral wkwk
terimakasih sudah sampai"
D***h,bintang 5,Pengirimanya cepat dan packing rapi untuk rasa belom dicoba katena masih puasa
muhammad,bintang 4,"rasa menurut saya standar, isi cumi y kategori sdikit, kalo masalah pedas jgn d tanya, tidak d rekomendasikan untuk yg punya penyakit lambung"
D***O,bintang 5,packing nya bagus aman selamat sampai tujuan. sambelnya pas di coba enak pedas gurih.
Rayhan,bintang 5,"Rasanya gak segurih yang dulu, tapi tetep bisa dinikmatin 😁"
Rismansyah,bintang 5,Enak
v***o,bintang 3,"overatet, rasa biasa aja"
Muhamad,bintang 5,"mantap overall sambel kemasan paling enak, packing nya juga bagus lucu wkwkw"
S***a,bintang 5,"packing aman, rasa nampol, cumi lumayan banyak"
B***l,bintang 5,Enak. Pedas
C***n,bintang 5,No review text
A***d,bintang 5,rasa enak banget terimakasih
Muhammad,bintang 5,"Gasalah beli pertama kali disini, packing sangat aman double bubble wrap, rasanya juga enak, pedesnya nampol, daging nya juga cukup banyak, pengiriman reguler berasa next..."
R***h,bintang 5,No review text
restu,bintang 5,uenakk poul
W***n,bintang 4,Cuminya dikit&kecil banget ga sesuai gambar🥹🥹
Hesi,bintang 5,sambal nya enak
M***a,bintang 5,Sambelnya nampol bgt sih pedesnya bikin ketagihan 😂 pastii bakal order lagi
A***o,bintang 5,"Ok, sesuai deskripsi dan gambar, belum coba rasanya."
Gusdhe,bintang 5,"dpt aja udh seneng banget, emg bener enak"
Radeya,bintang 5,"saya gak suka cumi, tapi nyoba varian cuminya langsung suka ... pedas nampol bikin ketagihan"
Dindin,bintang 5,recomended
F***a,bintang 5,ENAK
just,bintang 5,enak dan pedess (ya iyalah namanya jg sambel) 👍
Rangga,bintang 5,mantap👍
Yusuf,bintang 5,No review text
S***n,bintang 5,"sudah sampai !! pengiriman cepat bangett, packging udah pasti aman, fav teri sama cumi sambel paling enak sih ini !! tgl produksi baru exp masih lama, thanks a lot seller"
soni,bintang 4,enak dan pedesnya poll cuma agak sedikit asin mungkin digurihin lebih mantap lagi
Mohamad,bintang 5,favorit keluarga 🤘
RPC,bintang 5,"enak banget sih, bikin nagih."
Waldi,bintang 5,"mantapps sambelnya pedes bgt, tp Gk ada level level ya gan?"
M***d,bintang 5,Asli enak banget!! RECOMMENDED
M,bintang 5,Sesuai pesanan. sambelnya enak. udah sering pesen disini di jamin sambel fresh. terima kasih kakak.
Kevin,bintang 5,"produk telah diterima dengan keadaan baik, sesuai dengan deskripsi produk yang ada, packing baik dan tidak ada kendala dalam pengiriman. terima kasih."
g***h,bintang 5,pedesnya nendang brodieehh
Yungenide,bintang 5,enak baget sambel cuminya.
cherly,bintang 5,"Mank pada dasarnya aku pecinta seafood, jadi wajib nyobain CUMI eat samball neh!! aduhhh tyt kuranggg...kurang BYK!!😭, tapi soal rasa? ENAK!!! NAGIH"
Lukman,bintang 5,enak
F***r,bintang 5,"ini repeat order yang kedua
rasa memang gak bisa bohong
pengiriman juga termasuk cepat"
B***i,bintang 5,toop
R***t,bintang 5,No review text
Agung,bintang 5,sambel favorit
Ihsan,bintang 5,Produk enakk!
H***o,bintang 2,"kebanyakan ekornya doang, cuminya keitung jari"
Johan,bintang 5,Mantap
C***n,bintang 5,"MANTAB SAKING ENAKNYA , SAMPE REBAHAN"
ferdi,bintang 3,pengiriman ampas
D***a,bintang 5,Mantap
Doddy,bintang 5,enak..maknyuus
Reza,bintang 5,Enak gurih dan agak pedas
zidnie,bintang 5,pedes banget njirr
irma,bintang 5,Pedes nampol
Ahmad,bintang 5,Enakk
D***d,bintang 5,"Lumayan pedes, ngak seru sih soalnya cuma 2 hari udah habis"
A***e,bintang 5,ciamikmikmik
A***i,bintang 3,"sambal cumi tapi gak ada rasa cuminya,cuminya cuma dapat 3 biji"
Agus,bintang 3,"maaf ya Boss, rating by refund"
A***a,bintang 5,Oke si enak nga terlalu yang gimana gimana👍
Fajar,bintang 5,"rasa sambal nya mantap
pedas nya pas"
Bacho,bintang 5,sambelnya oke pengirimannya lama banget
M***d,bintang 5,Puedes nampol gurih sedap dan yang pasti fresh 📝
S***a,bintang 5,Pengiriman cepat dan aman! Rasa enak dan nagih.
M***a,bintang 5,"akhirnya rasa penasaran terobati. pengiriman cepet, Sambel nya enak, pedes. Makan pake nasi panas udah enak bgt"
fajri,bintang 5,"mantab, nanti coba setelah buka puasa.. perdana nih.."
y***g,bintang 5,"mantap dahh..jadi pengen beli lagi, penasaran sama rasa2 yg lainnya"
Fahmi,bintang 5,pedes banget sumpaaahhh...
monica,bintang 2,sedih udah asam rasanya :
Erni,bintang 5,Praktis daripada nyambel sendiri
Seha,bintang 5,"ini sambel beneran enak,,, walau isi cumi nya kecil2 dan gak banyak... tapi pedasnya mantaap , next repeat order... wajib coba nih sambal.... Recomended"
Deva,bintang 5,enak mantap
Andrew,bintang 4,"akhirnya bisa coba utk pertama kalinya. ga mengecewakan sih. tp utk ukuran org manado, ukuran ini cm buat 1x makan doang. but its okay. harga sesuai lah. mungkin masukan,..."
D***a,bintang 5,"Akhirnya sampai jg yah barangnya , saran aja mgkn pilihan kurirnya bisa ditambahin yah pertama kali pesan tanpa kena arus lebaran aja udah lama pake kurir satu ini. Utk r..."
Muhammad,bintang 5,"Mantep banget
Maknyus sambelnya"
JlovMayLindanAhsan,bintang 5,"Rasanya enak, sangat pedasss, Respon Adminya cepat tanggap, ketika pengantaran terjadi kendala"
Lily,bintang 5,Barang sdh saya trima dgn baik ..kemasan rapi..thx u
Irwan,bintang 5,Mudah mudahan saya suka wkwk
I***h,bintang 4,Pengirimannya lama banget. Rasanya biasa aja ternyata.
S***i,bintang 4,lebih banyak cabenya daripada cuminya dan rasa lumayan
Mohamad,bintang 5,enaaaaaak
D***r,bintang 4,"Rasa cabainya sangat terasa, namun terlalu pedas untuk saya, cuminya juga kurang terasa, tapi sambalnya mantap"
k***e,bintang 5,pedasnya pas sesuai lidah lokal
Wulandari,bintang 5,"cumi tidak amis, level pedas cukup, terima kasih tim eatsambel"
H***i,bintang 5,Enaaakkk
Phicky,bintang 4,Blm coba
n***a,bintang 5,mantap jiwa
Andreas,bintang 5,"udah sampe packingnya bagus dan menarik, segelnya oke banget nggak ada kerusakan sama sekali"
N***l,bintang 5,Sambelnya enak cuma cuminya kecil2
Indah,bintang 4,"8/10 lah, menurut ku lebih gurih pas awal2 launching"
A***a,bintang 5,"Alhamdulilah paketnya sudah datang dikemas dengan baik dan rapih, tapi keamanannya kurang kak karena gapake bubble wrap ☹️ tapi alhamdulilah paketnya aman, terimakasih ya..."
Aldi,bintang 5,"Enak, tapi cumi nya agak keras"
Juny,bintang 5,ini merupakan order yg kedua..sambel cuminya juaraaa
Fariz,bintang 5,enak. beneran enak. sama nasi panas cukup. dibikin buat base nasi goreng juga ajib nih sptnya. mantap.
R***i,bintang 5,"rasa enak, cuminya ada , pedasnya pas sama nasi panas, packing aman yang ini"
Vallen,bintang 5,"belum dicoba, lmyn cepat nyampenya"
Taufan,bintang 5,sambal enak... gak sia sia nunggu lama.. rekomended seller
L***n,bintang 5,enak
Fendy,bintang 3,cukup
Erwin,bintang 5,"Barang sudah keterima dengan baik. 
Belum sempet dicoba.  Semoga rasa  nya sesuai"
Yudho,bintang 5,enak rasanya nagihh
Tri,bintang 5,rasa belum dicoba..
V***o,bintang 5,"cumi ciamikk, sesuaii namanyaaa ciamikkk🤩"
